meal_id,name,meal_type,calories,protein,carbs,fat
M97,Meal 97,lunch,700,14.4,47.9,5.9
M98,Meal 98,snack,326,19.6,49.5,8.1
M99,Meal 99,snack,819,15.1,32.1,33.0
M100,Meal 100,breakfast,361,34.9,57.3,29.6
M101,Meal 101,breakfast,511,32.0,37.7,18.8
M102,Meal 102,lunch,826,24.8,63.2,22.0
M103,Meal 103,snack,351,38.2,54.9,33.0
M104,Meal 104,snack,202,10.9,67.2,27.9
M105,Meal 105,lunch,346,37.4,57.1,23.9
M106,Meal 106,snack,763,9.0,37.1,23.4
M107,Meal 107,dinner,241,11.4,42.3,30.8
M108,Meal 108,snack,392,10.9,43.2,9.7
M109,Meal 109,breakfast,294,9.2,20.4,30.4
M110,Meal 110,breakfast,640,36.7,67.6,11.8
M111,Meal 111,lunch,838,26.4,26.2,17.3
M112,Meal 112,breakfast,572,24.3,55.8,30.7
M113,Meal 113,dinner,483,8.5,50.1,6.0
M114,Meal 114,dinner,769,7.7,25.2,13.0
M115,Meal 115,breakfast,785,24.1,76.1,8.4
M116,Meal 116,dinner,758,17.8,47.2,9.3
M117,Meal 117,snack,391,20.2,41.5,34.3
M118,Meal 118,dinner,888,7.9,29.8,17.7
M119,Meal 119,dinner,581,32.8,50.6,30.3
M120,Meal 120,breakfast,453,22.3,34.8,5.5
M121,Meal 121,snack,691,20.1,56.5,8.9
M122,Meal 122,dinner,491,16.9,60.2,7.1
M123,Meal 123,lunch,370,31.8,24.7,7.7
M124,Meal 124,breakfast,607,21.1,22.5,15.6
M125,Meal 125,breakfast,874,33.9,72.1,10.6
M126,Meal 126,lunch,401,25.8,59.6,9.4
M127,Meal 127,dinner,232,32.5,37.4,24.4
M128,Meal 128,dinner,533,10.2,43.7,7.4
M129,Meal 129,lunch,735,33.5,27.1,14.4
M130,Meal 130,dinner,447,15.5,46.1,21.6
M131,Meal 131,breakfast,732,39.2,75.5,15.8
M132,Meal 132,breakfast,243,13.8,45.7,5.6
M133,Meal 133,dinner,501,23.9,29.2,24.0
M134,Meal 134,lunch,614,22.7,31.0,14.4
M135,Meal 135,dinner,305,24.3,41.5,5.8
M136,Meal 136,snack,257,5.1,47.7,15.7
M137,Meal 137,snack,530,21.2,53.1,22.7
M138,Meal 138,dinner,852,28.1,76.1,18.2
M139,Meal 139,breakfast,552,36.4,76.6,17.6
M140,Meal 140,dinner,424,26.9,67.7,25.7
M141,Meal 141,snack,708,9.0,61.4,25.8
M142,Meal 142,dinner,246,10.2,78.9,18.9
M143,Meal 143,snack,858,22.8,25.0,31.3
M144,Meal 144,breakfast,851,16.0,31.3,28.6
M145,Meal 145,breakfast,388,19.7,36.5,21.7
M146,Meal 146,lunch,372,12.5,36.9,27.0
M147,Meal 147,breakfast,420,13.6,21.6,30.1
M148,Meal 148,breakfast,474,26.4,54.3,13.0
M149,Meal 149,dinner,301,17.6,29.7,16.9
M150,Meal 150,dinner,737,30.1,57.8,11.2
M151,Meal 151,snack,260,19.2,63.7,10.6
M152,Meal 152,dinner,243,6.3,38.5,14.0
M153,Meal 153,lunch,875,19.3,27.4,16.8
M154,Meal 154,dinner,681,27.4,60.2,32.9
M155,Meal 155,lunch,835,13.7,70.6,14.1
M156,Meal 156,breakfast,764,31.1,50.8,5.3
M157,Meal 157,snack,613,23.0,37.7,26.5
M158,Meal 158,breakfast,626,22.3,42.5,17.4
M159,Meal 159,lunch,369,15.8,75.5,24.1
M160,Meal 160,lunch,213,28.9,50.6,15.3
M161,Meal 161,lunch,373,40.0,38.0,21.1
M162,Meal 162,lunch,621,37.0,64.1,33.4
M163,Meal 163,lunch,660,39.1,62.7,33.1
M164,Meal 164,dinner,558,36.3,75.3,21.1
M165,Meal 165,lunch,596,33.0,45.7,10.9
M166,Meal 166,lunch,387,28.2,76.6,15.2
M167,Meal 167,lunch,651,20.6,20.3,19.2
M168,Meal 168,snack,327,39.8,74.0,16.3
M169,Meal 169,dinner,336,14.2,33.7,22.6
M170,Meal 170,dinner,286,20.8,38.9,15.0
M171,Meal 171,snack,842,5.3,38.6,8.4
M172,Meal 172,snack,366,18.7,58.7,6.1
M173,Meal 173,snack,213,24.0,40.0,10.2
M174,Meal 174,dinner,778,21.3,48.7,11.7
M175,Meal 175,lunch,733,29.1,67.0,26.8
M176,Meal 176,lunch,279,35.3,69.1,9.7
M177,Meal 177,lunch,831,33.1,36.8,7.6
M178,Meal 178,dinner,527,37.9,64.6,23.6
M179,Meal 179,lunch,689,5.4,61.5,11.6
M180,Meal 180,dinner,627,39.2,55.0,17.7
M181,Meal 181,snack,611,15.7,76.7,28.6
M182,Meal 182,breakfast,487,28.7,71.3,18.6
M183,Meal 183,lunch,773,34.3,67.5,17.4
M184,Meal 184,lunch,671,11.2,35.4,26.2
M185,Meal 185,lunch,277,12.6,27.7,9.1
M186,Meal 186,dinner,498,31.3,42.5,7.0
M187,Meal 187,breakfast,772,29.1,60.4,22.3
M188,Meal 188,breakfast,325,28.3,76.2,25.1
M189,Meal 189,breakfast,696,34.2,46.0,30.2
M190,Meal 190,dinner,281,30.0,24.5,33.2
M191,Meal 191,breakfast,853,28.5,48.4,21.2
M192,Meal 192,dinner,232,8.1,30.0,34.4
M193,Meal 193,dinner,449,17.4,73.2,19.6
M194,Meal 194,lunch,562,12.2,64.5,7.8
M195,Meal 195,snack,780,39.9,29.7,5.7
M196,Meal 196,lunch,347,35.6,62.6,26.9
M197,Meal 197,breakfast,633,37.1,28.7,16.7
M198,Meal 198,breakfast,754,32.5,46.4,11.3
M199,Meal 199,breakfast,692,27.0,60.9,12.6
M200,Meal 200,breakfast,773,23.5,37.9,34.4
M201,Meal 201,dinner,415,6.4,49.8,17.0
M202,Meal 202,snack,769,15.1,26.6,10.2
M203,Meal 203,dinner,341,12.3,28.5,26.0
M204,Meal 204,lunch,761,26.7,36.1,28.5
M205,Meal 205,breakfast,359,33.9,28.9,35.0
M206,Meal 206,dinner,528,29.1,68.6,12.3
M207,Meal 207,snack,269,36.8,53.6,26.5
M208,Meal 208,breakfast,466,27.9,40.2,6.4
M209,Meal 209,dinner,659,23.1,27.9,34.9
M210,Meal 210,breakfast,787,5.4,43.9,25.9
M211,Meal 211,breakfast,628,24.1,71.3,19.7
M212,Meal 212,lunch,728,9.2,48.0,24.4
M213,Meal 213,lunch,898,7.3,39.5,17.6
M214,Meal 214,dinner,314,24.5,34.3,5.4
M215,Meal 215,lunch,858,21.2,21.8,12.4
M216,Meal 216,dinner,700,36.0,32.9,29.2
M217,Meal 217,dinner,428,30.5,43.2,22.5
M218,Meal 218,dinner,263,28.8,41.5,30.6
M219,Meal 219,dinner,508,19.5,25.1,27.1
M220,Meal 220,breakfast,293,21.2,25.8,21.7
M221,Meal 221,lunch,583,5.2,70.1,25.3
M222,Meal 222,snack,830,26.8,78.4,6.8
M223,Meal 223,dinner,571,5.4,42.3,23.1
M224,Meal 224,breakfast,513,38.2,75.3,34.9
M225,Meal 225,dinner,615,35.4,32.8,15.4
M226,Meal 226,breakfast,897,25.0,35.9,21.2
M227,Meal 227,snack,538,22.5,79.2,23.6
M228,Meal 228,lunch,659,21.5,28.3,26.4
M229,Meal 229,breakfast,300,6.3,59.2,6.4
M230,Meal 230,snack,616,32.0,56.8,22.3
M231,Meal 231,lunch,837,34.2,66.4,29.2
M232,Meal 232,breakfast,446,28.0,65.6,6.9
M233,Meal 233,breakfast,550,10.4,57.4,25.1
M234,Meal 234,snack,694,36.6,26.7,24.6
M235,Meal 235,dinner,874,27.2,78.1,7.6
M236,Meal 236,breakfast,350,33.5,21.4,25.4
M237,Meal 237,breakfast,500,38.3,21.6,14.9
M238,Meal 238,lunch,800,36.5,35.2,13.7
M239,Meal 239,snack,791,21.4,53.9,30.8
M240,Meal 240,snack,326,14.7,22.4,25.0
M241,Meal 241,snack,639,13.4,39.0,10.2
M242,Meal 242,dinner,259,36.6,21.3,14.5
M243,Meal 243,snack,859,36.8,36.5,18.2
M244,Meal 244,breakfast,596,9.2,61.5,34.5
M245,Meal 245,lunch,885,16.8,43.3,17.8
M246,Meal 246,lunch,762,36.0,60.5,12.7
M247,Meal 247,snack,895,18.3,55.3,34.3
M248,Meal 248,dinner,426,37.6,71.4,32.1
M249,Meal 249,snack,342,32.4,29.4,12.8
M250,Meal 250,lunch,419,33.6,50.6,23.4
M251,Meal 251,dinner,867,31.7,42.4,31.8
M252,Meal 252,lunch,399,37.1,78.7,25.9
M253,Meal 253,snack,580,19.8,62.1,20.7
M254,Meal 254,lunch,538,34.7,32.3,25.4
M255,Meal 255,breakfast,613,12.8,47.0,25.5
M256,Meal 256,dinner,642,34.9,35.0,24.0
M257,Meal 257,breakfast,637,23.1,29.6,7.4
M258,Meal 258,dinner,233,20.8,22.4,8.4
M259,Meal 259,snack,321,39.9,34.3,32.2
M260,Meal 260,lunch,406,8.6,66.6,6.6
M261,Meal 261,breakfast,750,37.3,72.2,30.4
M262,Meal 262,dinner,526,10.3,42.7,13.5
M263,Meal 263,snack,238,28.8,77.6,19.2
M264,Meal 264,breakfast,619,10.5,71.4,20.5
M265,Meal 265,breakfast,272,32.0,62.1,34.4
M266,Meal 266,breakfast,799,9.8,46.6,5.1
M267,Meal 267,snack,840,10.3,51.8,29.4
M268,Meal 268,breakfast,240,7.0,66.0,24.7
M269,Meal 269,dinner,362,9.8,35.6,10.0
M270,Meal 270,breakfast,800,7.2,42.3,12.5
M271,Meal 271,breakfast,685,20.9,79.4,5.5
M272,Meal 272,lunch,421,32.3,65.0,33.0
M273,Meal 273,dinner,756,30.5,24.5,22.5
M274,Meal 274,dinner,654,12.2,50.4,32.6
M275,Meal 275,dinner,699,19.1,48.8,19.7
M276,Meal 276,snack,378,23.4,48.0,26.9
M277,Meal 277,breakfast,285,34.1,30.9,13.7
M278,Meal 278,lunch,492,33.9,63.2,13.3
M279,Meal 279,lunch,489,16.9,67.6,23.3
M280,Meal 280,snack,575,30.7,57.5,19.5
M281,Meal 281,breakfast,381,5.7,26.1,16.6
M282,Meal 282,dinner,764,18.6,21.5,35.0
M283,Meal 283,breakfast,204,21.8,65.8,21.9
M284,Meal 284,breakfast,686,28.1,24.6,32.8
M285,Meal 285,lunch,572,7.5,77.2,10.0
M286,Meal 286,snack,328,30.7,40.8,16.8
M287,Meal 287,breakfast,888,16.4,54.9,20.5
M288,Meal 288,dinner,634,21.0,25.0,7.1
M289,Meal 289,snack,575,31.3,58.9,10.7
M290,Meal 290,dinner,772,13.1,45.5,16.8
M291,Meal 291,snack,615,5.4,44.6,18.3
M292,Meal 292,snack,788,34.4,46.7,34.4
M293,Meal 293,dinner,401,10.4,42.4,20.1
M294,Meal 294,lunch,595,36.3,54.9,16.1
M295,Meal 295,lunch,201,36.5,52.0,32.7
M296,Meal 296,dinner,340,21.7,41.1,30.9
M297,Meal 297,dinner,478,36.5,31.0,25.6
M298,Meal 298,lunch,406,28.1,41.8,6.3
M299,Meal 299,dinner,279,34.6,57.8,32.3
M300,Meal 300,dinner,506,39.9,41.1,23.0
M301,Meal 301,lunch,881,32.0,68.2,7.9
M302,Meal 302,dinner,226,20.5,28.2,9.4
M303,Meal 303,snack,263,33.1,49.7,30.8
M304,Meal 304,snack,253,38.4,44.1,25.2
M305,Meal 305,lunch,523,38.1,68.3,16.7
M306,Meal 306,lunch,726,27.7,64.6,13.8
M307,Meal 307,breakfast,377,10.0,29.0,24.3
M308,Meal 308,dinner,596,18.5,38.7,10.3
M309,Meal 309,breakfast,690,10.2,73.1,34.3
M310,Meal 310,breakfast,421,12.4,48.1,31.5
M311,Meal 311,dinner,423,35.4,37.4,14.9
M312,Meal 312,lunch,455,36.4,60.3,13.4
M313,Meal 313,breakfast,532,20.2,67.8,19.9
M314,Meal 314,breakfast,685,16.2,48.2,15.2
M315,Meal 315,snack,668,22.2,71.6,11.1
M316,Meal 316,breakfast,462,33.6,69.2,32.0
M317,Meal 317,dinner,706,30.0,34.8,23.9
M318,Meal 318,dinner,324,39.2,71.0,24.4
M319,Meal 319,breakfast,401,24.0,62.7,6.3
M320,Meal 320,breakfast,234,18.7,71.2,34.3
M321,Meal 321,breakfast,231,11.6,64.4,25.1
M322,Meal 322,lunch,754,5.7,51.7,23.5
M323,Meal 323,snack,449,29.9,78.4,10.1
M324,Meal 324,snack,379,19.7,41.3,15.2
M325,Meal 325,breakfast,451,7.8,63.6,8.7
M326,Meal 326,lunch,826,34.3,69.5,6.7
M327,Meal 327,lunch,401,21.8,67.6,32.5
M328,Meal 328,breakfast,234,12.5,39.8,20.8
M329,Meal 329,lunch,487,19.7,56.3,25.4
M330,Meal 330,dinner,779,12.6,54.0,32.3
M331,Meal 331,dinner,497,11.3,54.8,24.5
M332,Meal 332,dinner,609,7.6,36.3,14.6
M333,Meal 333,snack,593,7.9,54.3,17.5
M334,Meal 334,breakfast,681,27.5,47.9,27.0
M335,Meal 335,lunch,236,35.5,28.3,14.8
M336,Meal 336,breakfast,273,22.7,23.2,9.0
M337,Meal 337,lunch,626,12.9,33.2,5.1
M338,Meal 338,snack,748,39.9,48.6,9.7
M339,Meal 339,lunch,486,27.2,51.5,12.5
M340,Meal 340,lunch,684,7.3,61.6,18.6
M341,Meal 341,lunch,772,28.1,60.4,5.7
M342,Meal 342,lunch,743,30.1,76.0,22.3
M343,Meal 343,breakfast,541,38.3,44.7,20.5
M344,Meal 344,breakfast,756,21.7,76.9,12.9
M345,Meal 345,breakfast,506,28.0,52.3,31.1
M346,Meal 346,lunch,890,9.9,72.0,27.1
M347,Meal 347,dinner,599,37.1,50.8,22.0
M348,Meal 348,breakfast,208,36.1,38.6,6.1
M349,Meal 349,lunch,423,30.9,69.8,34.4
M350,Meal 350,breakfast,718,25.0,49.1,16.9
M351,Meal 351,dinner,394,36.3,41.4,24.3
M352,Meal 352,lunch,421,25.0,35.5,22.2
M353,Meal 353,lunch,663,15.9,66.0,30.3
M354,Meal 354,dinner,491,21.3,37.4,14.0
M355,Meal 355,lunch,530,34.0,38.4,29.6
M356,Meal 356,lunch,648,34.0,29.7,13.9
M357,Meal 357,breakfast,895,24.1,40.0,7.9
M358,Meal 358,breakfast,497,35.7,53.9,21.6
M359,Meal 359,dinner,541,34.4,74.8,15.3
M360,Meal 360,lunch,260,36.9,51.8,34.0
M361,Meal 361,breakfast,399,32.0,36.0,18.9
M362,Meal 362,snack,487,37.7,67.3,25.0
M363,Meal 363,dinner,727,35.3,54.7,18.4
M364,Meal 364,dinner,591,26.3,64.2,19.3
M365,Meal 365,dinner,535,16.1,44.9,7.2
M366,Meal 366,snack,644,23.5,70.0,13.1
M367,Meal 367,snack,399,36.6,59.4,18.9
M368,Meal 368,dinner,634,18.0,43.2,29.5
M369,Meal 369,dinner,667,35.3,20.7,25.3
M370,Meal 370,snack,488,31.3,30.3,14.6
M371,Meal 371,lunch,881,26.7,75.5,18.4
M372,Meal 372,snack,477,34.2,63.4,33.2
M373,Meal 373,lunch,505,24.2,21.1,24.4
M374,Meal 374,lunch,672,34.5,31.7,19.2
M375,Meal 375,lunch,540,10.5,31.9,29.1
M376,Meal 376,snack,733,25.2,66.2,8.0
M377,Meal 377,dinner,602,29.3,71.0,12.6
M378,Meal 378,breakfast,350,9.3,54.1,20.0
M379,Meal 379,lunch,466,16.9,76.2,17.5
M380,Meal 380,breakfast,655,7.8,45.3,15.0
M381,Meal 381,lunch,896,36.1,39.9,26.6
M382,Meal 382,snack,599,22.2,68.0,14.4
M383,Meal 383,breakfast,441,34.0,51.2,18.1
M384,Meal 384,lunch,547,38.9,29.0,16.9
M385,Meal 385,dinner,466,8.4,70.0,33.0
M386,Meal 386,snack,762,29.4,31.2,21.2
M387,Meal 387,lunch,812,9.2,48.3,13.4
M388,Meal 388,dinner,811,27.2,71.0,22.0
M389,Meal 389,breakfast,431,23.4,58.2,25.3
M390,Meal 390,dinner,294,23.1,58.5,16.8
M391,Meal 391,dinner,309,25.4,35.1,34.3
M392,Meal 392,snack,641,38.5,55.6,34.1
M393,Meal 393,snack,849,10.4,23.0,17.4
M394,Meal 394,dinner,277,36.1,68.5,13.6
M395,Meal 395,lunch,345,24.6,34.3,15.3
M396,Meal 396,dinner,375,28.0,56.6,5.8
M397,Meal 397,dinner,836,6.9,73.4,27.4
M398,Meal 398,snack,786,24.9,64.4,26.7
M399,Meal 399,lunch,896,8.7,22.7,34.9
M400,Meal 400,dinner,609,15.7,53.3,17.4
